packets,bytes,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,pkts_order,mp2t_disorder_0x00000064,mp2t_disorder_0x000000c8,mp2t_disorder_0x00000000,mp2t_disorder_0x00000020,mp2t_disorder_0x00000011,second,vmaf,exp_id,vmafXsecond
167.0,224448.0,0.0059849936407185,0.0036766243562972,0.7915060341261404,0.5268365559063555,1.0,0.0,0.0,0.0,0.0,0.0,1.0,96.435298,1,100.0
407.0,547008.0,0.0024606762137592,0.0005388611926622,0.1837209669811267,-0.521571682768275,1.0,0.0,0.0,0.0,0.0,0.0,2.0,96.435298,1,100.0
321.0,431424.0,0.0031170178255451,0.0005634743161242,0.2709106711792934,-0.6368523211554264,1.0,0.0,0.0,0.0,0.0,0.0,3.0,96.435298,1,100.0
451.0,606144.0,0.0022184076651884,0.0003239750980468,0.021302816220005,-0.1975128508695647,1.0,0.0,0.0,0.0,0.0,0.0,4.0,96.435298,1,100.0
549.0,737856.0,0.0018248767559198,0.0002869076249857,0.2594997713314758,0.4872754387123108,1.0,0.0,0.0,0.0,0.0,0.0,5.0,96.435298,1,99.89515562499999
632.0,849408.0,0.0015845211914556,0.0003047994883356,0.106530727919558,0.3677535869837536,1.0,0.0,0.0,0.0,0.0,0.0,6.0,96.435298,1,97.55073170833333
655.0,880320.0,0.0015281623374045,0.000305059781716,0.1950078752402424,0.2800748568149691,1.0,0.0,0.0,0.0,0.0,0.0,7.0,96.435298,1,97.64070358333333
766.0,1029504.0,0.0013073703877284,0.0003238921193235,0.18320386751516,0.1518643913356658,1.0,0.0,0.0,0.0,0.0,0.0,8.0,96.435298,1,99.84470866666668
953.0,1280832.0,0.0010506458961175,0.0003107937375628,-0.0792477314228594,0.5591588703889032,1.0,0.0,0.0,0.0,0.0,0.0,9.0,96.435298,1,98.17069475000001
1212.0,1628928.0,0.000825026980198,0.0003628561117371,0.3819024466231042,1.426146789491765,1.0,0.0,0.0,0.0,0.0,0.0,10.0,96.435298,1,98.50214791666667
1060.0,1424640.0,0.000943865395283,0.0006269312360213,1.1633154332529283,4.219641019171789,1.0,0.0,0.0,0.0,0.0,0.0,11.0,96.435298,1,99.00926345833334
698.0,938112.0,0.0014359600702005,0.0013180655165106,1.0475534383879412,-0.1001371418019543,1.0,0.0,0.0,0.0,0.0,0.0,12.0,96.435298,1,98.80512216666666
672.0,903168.0,0.00148847515625,0.0003338965636288,0.1422984497715804,0.0555182021902731,1.0,0.0,0.0,0.0,0.0,0.0,13.0,96.435298,1,98.91012075000002
578.0,776832.0,0.001732556200692,0.0004290219111994,0.8232805915335845,0.8950977511558591,0.5171661079560788,0.0,0.0,0.0,0.0,0.0,14.0,96.435298,1,99.29883445833333
568.0,763392.0,0.0017632042764084,0.0004202474580697,0.0732993985547068,0.2362717988007716,1.0,0.0,0.0,0.0,0.0,0.0,15.0,96.435298,1,99.29758708333333
