packets,bytes,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,pkts_order,mp2t_disorder_0x00000064,mp2t_disorder_0x000000c8,mp2t_disorder_0x00000000,mp2t_disorder_0x00000020,mp2t_disorder_0x00000011,second,vmaf,exp_id,vmafXsecond
451.0,606144.0,0.0022193626940133,0.0005528686217111,2.386267048784428,22.07899866573776,1.0,0.0,0.0,0.0,0.0,0.0,4.0,39.822018,2,9.180877458333333
548.0,736512.0,0.0018243916222627,0.0004761517021525,2.459183592463237,21.467893127358828,1.0,0.0,0.0,0.0,0.0,0.0,5.0,39.822018,2,8.508816958333334
632.0,849408.0,0.0015828263844936,0.000343228129718,0.3944522228325602,0.7348671637456397,1.0,0.0,0.0,0.0,0.0,0.0,6.0,39.822018,2,0.0
654.0,878976.0,0.0015306969021406,0.0004263116474323,1.5100024763801572,10.495374026685967,1.0,0.0,0.0,0.0,0.0,0.0,7.0,39.822018,2,0.0
768.0,1032192.0,0.0013031200247395,0.000586643135435,4.287181446724884,47.272020306761696,1.0,0.0,0.0,0.0,0.0,0.0,8.0,39.822018,2,0.0
857.0,1151808.0,0.0011674737467911,0.0005058257115127,2.666590451401866,29.70812140008235,1.0,0.0,0.0,0.0,0.0,0.0,9.0,39.822018,2,0.0
745.0,1001280.0,0.0013442773999999,0.0004393685494775,3.156349907254339,30.680821160901925,1.0,254.0,6.0,0.0,0.0,0.0,10.0,39.822018,2,0.0
745.0,1001280.0,0.0013434310899328,0.0004371648843715,1.8166684542310223,15.329991512931,1.0,148.0,6.0,0.0,0.0,0.0,11.0,39.822018,2,0.0
546.0,733824.0,0.0018309227545787,0.0011060701548041,1.4765690506673528,0.9197903828650542,1.0,49.0,1.0,0.0,0.0,0.0,12.0,39.822018,2,18.892074666666666
724.0,973056.0,0.0013818604447513,0.0003452584516617,0.5446059646489231,1.921519823520524,1.0,0.0,0.0,0.0,0.0,0.0,13.0,39.822018,2,9.5430525
577.0,775488.0,0.0017347328942807,0.0005470716563548,1.3419263600465512,6.082922448920011,1.0,0.0,0.0,0.0,0.0,0.0,14.0,39.822018,2,3.837937
569.0,764736.0,0.0017614783884007,0.0004536011425496,0.3042831569108186,0.8838383114900008,1.0,0.0,0.0,0.0,0.0,0.0,15.0,39.822018,2,3.8218103333333335
316.0,424704.0,0.0031697200506329,0.0032643951246326,4.071530996550574,17.70716338077004,1.0,0.0,0.0,0.0,0.0,0.0,16.0,39.822018,2,4.42387025
173.0,232512.0,0.0057922477225433,0.0020138192733252,0.5575325560415905,-0.3877718614102052,1.0,0.0,0.0,0.0,0.0,0.0,17.0,39.822018,2,0.592474125
233.0,313152.0,0.0043056706223175,0.0008560749201234,0.4037305225316556,-0.302619965697692,1.0,0.0,0.0,0.0,0.0,0.0,18.0,39.822018,2,0.0
137.0,184128.0,0.0073073667664233,0.0020318161589994,2.3689561774835366,4.300678620991785,1.0,0.0,0.0,0.0,0.0,0.0,19.0,39.822018,2,29.166666666666668
176.0,236544.0,0.0057402231647727,0.0030473543020682,1.3086735759295571,-0.0345377879384871,1.0,0.0,0.0,0.0,0.0,0.0,20.0,39.822018,2,100.0
264.0,354816.0,0.0037973928219696,0.0028449370622821,2.170319289822918,3.5722172861409622,1.0,0.0,0.0,0.0,0.0,0.0,21.0,39.822018,2,100.0
67.0,90048.0,0.0150927811044776,0.0021946358014497,-0.2515615109777947,-0.8156767335056418,1.0,0.0,0.0,0.0,0.0,0.0,22.0,39.822018,2,100.0
682.0,916608.0,0.0014713810762463,0.0036973374509237,4.402827551212602,18.304660427683643,1.0,0.0,0.0,0.0,0.0,0.0,23.0,39.822018,2,100.0
901.0,1210944.0,0.0011098520788013,0.0005419741887642,2.6345797293471014,18.14583970232951,1.0,0.0,0.0,0.0,0.0,0.0,24.0,39.822018,2,100.0
962.0,1292928.0,0.0010413506465696,0.0005389291272312,2.0101317636721245,13.773139771227024,1.0,0.0,0.0,0.0,0.0,0.0,25.0,39.822018,2,100.0
1063.0,1428672.0,0.0009422304139228,0.0004976824437032,2.3411680103516463,17.293164414621124,1.0,0.0,0.0,0.0,0.0,0.0,26.0,39.822018,2,99.81299154166668
827.0,1111488.0,0.0012100237351874,0.0005330566118623,1.5988157675576091,9.939496496462,1.0,0.0,0.0,0.0,0.0,0.0,27.0,39.822018,2,100.0
941.0,1264704.0,0.0010632494760892,0.0004733663501029,1.0986460541656469,5.784023122545957,1.0,0.0,0.0,0.0,0.0,0.0,28.0,39.822018,2,99.14444125
166.0,223104.0,0.0055046530963855,0.0034071533181233,0.5783728258930854,0.1996914391008895,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37.148571,3,43.91298520833334
407.0,547008.0,0.0024597938255528,0.0007173514343555,0.8039883416427652,7.973230350892607,1.0,0.0,0.0,0.0,0.0,0.0,2.0,37.148571,3,42.91155191666667
321.0,431424.0,0.0031174814018691,0.0006459492948574,0.0337439217032146,1.788883923822321,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.148571,3,30.86931525
