packets,bytes,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,pkts_order,mp2t_disorder_0x00000064,mp2t_disorder_0x000000c8,mp2t_disorder_0x00000000,mp2t_disorder_0x00000020,mp2t_disorder_0x00000011,second,vmaf,exp_id,vmafXsecond
408.0,548352.0,0.0024558637794117,0.0005259943735084,0.0610760333576143,0.168502937614722,1.0,0.0,0.0,0.0,0.0,0.0,3.0,52.361757,2,43.346633499999996
323.0,434112.0,0.0030962269628482,0.0005915534014493,0.226564997027648,-0.3924142149410525,1.0,0.0,0.0,0.0,0.0,0.0,4.0,52.361757,2,32.170285541666665
452.0,607488.0,0.0022142115951327,0.000351718156688,0.3385967562889593,0.0817738038714472,1.0,0.0,0.0,0.0,0.0,0.0,5.0,52.361757,2,8.933935041666667
551.0,740544.0,0.0018172620961887,0.0003305891068386,0.1515591962444999,0.137396608479912,1.0,0.0,0.0,0.0,0.0,0.0,6.0,52.361757,2,8.267372875
633.0,850752.0,0.0015816663127962,0.0003017971042693,0.2923039082303311,0.3373137153937957,1.0,0.0,0.0,0.0,0.0,0.0,7.0,52.361757,2,0.0
654.0,878976.0,0.0015302933623853,0.0002977325129789,0.0813188955149031,-0.0260254776990889,1.0,0.0,0.0,0.0,0.0,0.0,8.0,52.361757,2,56.86309995833333
772.0,1037568.0,0.0012964186813471,0.000364814017964,2.1854050363949145,27.134317260223973,1.0,0.0,0.0,0.0,0.0,0.0,9.0,52.361757,2,44.08009125
952.0,1279488.0,0.0010504043792016,0.0003206669308315,0.1634309576934222,0.6542650980456952,1.0,0.0,0.0,0.0,0.0,0.0,10.0,52.361757,2,28.495106291666662
1214.0,1631616.0,0.0008240067891268,0.00032288222021,0.3250204540303297,1.3532597671175006,1.0,0.0,0.0,0.0,0.0,0.0,11.0,52.361757,2,53.18175679166668
1028.0,1381632.0,0.0009736736984435,0.0005935384344481,1.3176023263704018,3.1420134207507324,1.0,19.0,2.0,0.0,0.0,0.0,12.0,52.361757,2,38.921438583333334
702.0,943488.0,0.0014261751125356,0.0012811702149501,1.1786450916819255,0.1640085656596288,1.0,0.0,0.0,0.0,0.0,0.0,13.0,52.361757,2,45.45182583333334
673.0,904512.0,0.0014870846374442,0.0003586555181501,0.3567192645816724,0.2445650551087328,1.0,0.0,0.0,0.0,0.0,0.0,14.0,52.361757,2,13.3332755
574.0,771456.0,0.001744695391986,0.0004182337022715,0.9944464294021376,1.3836409425378131,1.0,0.0,0.0,0.0,0.0,0.0,15.0,52.361757,2,4.587567624999999
569.0,764736.0,0.0017582448224956,0.0003976533546337,-0.0867878899314331,-0.1209471116413123,1.0,0.0,0.0,0.0,0.0,0.0,16.0,52.361757,2,6.498942041666666
312.0,419328.0,0.0032048800352564,0.0032638703165888,4.108722715150915,17.803834515123494,1.0,0.0,0.0,0.0,0.0,0.0,17.0,52.361757,2,6.217526166666666
173.0,232512.0,0.0057870617052023,0.0019447672332899,0.6478723119319806,-0.6513967440511799,1.0,0.0,0.0,0.0,0.0,0.0,18.0,52.361757,2,0.7134415416666666
231.0,310464.0,0.0043419471038961,0.0008719482357549,0.4441338294401442,-0.0378781414763,1.0,0.0,0.0,0.0,0.0,0.0,19.0,52.361757,2,45.833333333333336
136.0,182784.0,0.0073544366029411,0.0020951145394152,2.300980044905752,3.862767312006101,1.0,0.0,0.0,0.0,0.0,0.0,20.0,52.361757,2,100.0
177.0,237888.0,0.0056862348813559,0.0029886249955674,1.3372601825807835,0.042559356416731,1.0,0.0,0.0,0.0,0.0,0.0,21.0,52.361757,2,100.0
263.0,353472.0,0.0038207016311787,0.0028621209847167,2.1573535844256813,3.358087271260948,1.0,0.0,0.0,0.0,0.0,0.0,22.0,52.361757,2,100.0
66.0,88704.0,0.0151532191969696,0.0020324011710144,-0.4772621027848631,-0.6134397047170679,1.0,0.0,0.0,0.0,0.0,0.0,23.0,52.361757,2,100.0
682.0,916608.0,0.0014699782712609,0.0036885292678143,4.432823164754333,18.521233799532315,1.0,0.0,0.0,0.0,0.0,0.0,24.0,52.361757,2,100.0
901.0,1210944.0,0.0011106361231964,0.0004063257607468,0.2497787505198806,0.0728063336482147,1.0,0.0,0.0,0.0,0.0,0.0,25.0,52.361757,2,100.0
963.0,1294272.0,0.001039946561786,0.0004002231487954,0.5329664414782822,0.3943003498448791,1.0,0.0,0.0,0.0,0.0,0.0,26.0,52.361757,2,100.0
1061.0,1425984.0,0.0009436456757775,0.0003355202277124,-0.0512518369101694,0.02590330872188,1.0,0.0,0.0,0.0,0.0,0.0,27.0,52.361757,2,99.81299154166668
828.0,1112832.0,0.0012087249057971,0.0003670684542817,0.4304404615996807,0.3571502182937438,1.0,0.0,0.0,0.0,0.0,0.0,28.0,52.361757,2,100.0
941.0,1264704.0,0.0010631200403825,0.0004319657965098,0.4556073533985147,-0.0242844492451963,1.0,0.0,0.0,0.0,0.0,0.0,29.0,52.361757,2,99.14444125
168.0,225792.0,0.0056023575357142,0.0034379806485887,0.6070880609272918,0.3172959043962748,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.336832,3,43.91298520833334
407.0,547008.0,0.0024581442211302,0.0005363621147339,0.1585298386721974,-0.1228539890546813,1.0,0.0,0.0,0.0,0.0,0.0,2.0,52.336832,3,43.346633499999996
322.0,432768.0,0.0031107440310559,0.0005707451589109,0.454863170505821,-0.2752383890194445,1.0,0.0,0.0,0.0,0.0,0.0,3.0,52.336832,3,32.170285541666665
451.0,606144.0,0.0022181574855875,0.000350447601192,0.4816962501993294,0.8191615486194186,1.0,0.0,0.0,0.0,0.0,0.0,4.0,52.336832,3,8.933935041666667
549.0,737856.0,0.0018246125792349,0.0003097760549719,-0.0539149050460656,0.0553739652801037,1.0,0.0,0.0,0.0,0.0,0.0,5.0,52.336832,3,8.267372875
